Time,[10:0],[10:1],[10:2],[10:3],[10:4],[10:5],[10:6],[10:7],[10:8],[10:9],[10:10],[10:11],[10:12],[10:13],[10:14],[10:15],[10:16],[10:17],[10:18],[10:19],[10:20]
time,Walzkraft  DUO-Walzwerk VL,Walzkraft  DUO-Walzwerk VR,Walzkraft  DUO-Walzwerk HL,Walzkraft  DUO-Walzwerk HR,Walzkraft Walzgerüst 1,Walzkraft Walzgerüst 2,Walzkraft Walzgerüst 3,Walzkraft Walzgerüst 4,Moment DUO-Walzwerk,Moment Walzgerüst 1,Moment Walzgerüst 2,Moment Walzgerüst 3,Moment Walzgerüst 4,Temperatur 1 (Rollgang),Temperatur 2 (Duo Austritt),Temperatur 3 (Duo Anstich),Temperatur 4 (vor G1),Temperatur 5 (vor G2),Temperatur 6 (vor G3),Temperatur 7 (vor G4),Temperatur 8 (nach G4)
sec,kN,kN,kN,kN,kN,kN,kN,kN,kNm,kNm,kNm,kNm,kNm,°C,°C,°C,°C,°C,°C,°C,°C
2022-10-20T10:45:48.636000,-0.16803,-0.0786133,-0.0721436,-0.0714111,-0.220062,0,0,0,0.592449,0.0109591,0.014466,-0.015343,0.0120442,670,670.091,670,600.087,669.909,600,670.091,600
2022-10-20T10:45:48.638000,-0.252075,-0.235901,-0.144226,-0.142822,-0.146698,-0.0575256,0,-0.0231171,0.585938,0.00964403,0.0166581,-0.014466,0.0113933,670,670,670,600,669.909,600,670.091,600
2022-10-20T10:45:48.640000,-0.16803,-0.0786133,-0.144226,-0.0714111,-0.146698,0,-0.0271606,0,0.592449,0.0105209,0.0157812,-0.0135894,0.0113933,670,670.091,670,599.913,669.909,600.087,670,600
2022-10-20T10:45:48.642000,-0.0840454,-0.235901,0,-0.0714111,-0.146698,0,-0.0271606,0,0.585938,0.00964403,0.014466,-0.015343,0.0117188,670,670.091,670,600.087,670.091,600.087,670.091,600
2022-10-20T10:45:48.644000,-0.16803,-0.157227,-0.0721436,0,-0.220062,-0.0287628,0,-0.0231171,0.592449,0.00964403,0.015343,-0.015343,0.0126953,670,670,670,600.087,670.091,600.087,670,600
2022-10-20T10:45:48.646000,-0.16803,-0.235901,-0.144226,-0.0714111,-0.18338,-0.0287628,0,-0.0231171,0.605469,0.0135894,0.015343,-0.015343,0.0110676,670,670,670.091,600,670.091,600,670,600
2022-10-20T10:45:48.648000,-0.0840454,-0.0786133,-0.144226,-0.0714111,-0.146698,0,-0.0271606,0,0.572918,0.0127127,0.0175347,-0.0140278,0.0130208,670,670,670,600,669.818,600,670.091,600.087
2022-10-20T10:45:48.650000,-0.0840454,-0.0786133,-0.144226,-0.0714111,-0.146698,0,-0.0271606,0,0.572918,0.0127127,0.0175347,-0.0140278,0.0130208,670,670,670,600,669.818,600,670.091,600.087
