index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2022-10-20 11:07:13.460,2022-10-20 11:07:14.050,2022-10-20 11:07:13.755,279.66406000000006,13.148429999999998,1097.2,
R2,2022-10-20 11:07:19.920,2022-10-20 11:07:20.680,2022-10-20 11:07:20.300,113.74682,9.264323999999998,1120.406,
R3,2022-10-20 11:07:23.660,2022-10-20 11:07:24.700,2022-10-20 11:07:24.180,265.4995,10.693999999999999,1086.206,
R4,2022-10-20 11:07:29.200,2022-10-20 11:07:30.580,2022-10-20 11:07:29.890,91.68916,7.488284,1120.3,
R5,2022-10-20 11:07:34.550,2022-10-20 11:07:36.330,2022-10-20 11:07:35.440,173.73766,5.7877600000000005,1025.03,
R6,2022-10-20 11:07:44.710,2022-10-20 11:07:46.940,2022-10-20 11:07:45.825,78.34108800000001,5.3027359999999994,1003.8860000000001,
F1,2022-10-20 11:07:54.710,2022-10-20 11:07:55.130,2022-10-20 11:07:54.920,99.3682,1.7909099999999998,932.8098,874.1665999999999
F2,2022-10-20 11:07:54.850,2022-10-20 11:07:55.260,2022-10-20 11:07:55.055,104.41595000000001,1.943111,890.7638,931.8072
F3,2022-10-20 11:07:54.950,2022-10-20 11:07:55.380,2022-10-20 11:07:55.165,130.8116,2.002422,1025.944,890.7638
F4,2022-10-20 11:07:55.050,2022-10-20 11:07:55.470,2022-10-20 11:07:55.260,82.24892,1.328712,1028.5059999999999,1025.868
