index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-27 13:54:16.560,2023-04-27 13:54:17.020,2023-04-27 13:54:16.790,173.17888,6.29818,1173.834,
R2,2023-04-27 13:54:23.570,2023-04-27 13:54:24.210,2023-04-27 13:54:23.890,136.91138,6.11588,1160.144,
R3,2023-04-27 13:54:27.300,2023-04-27 13:54:27.780,2023-04-27 13:54:27.540,218.42685999999998,6.4030000000000005,1139.1299999999999,
R4,2023-04-27 13:54:33.150,2023-04-27 13:54:33.760,2023-04-27 13:54:33.455,104.4672,4.8414705,1145.944,
R5,2023-04-27 13:54:39.540,2023-04-27 13:54:40.340,2023-04-27 13:54:39.940,157.89104,3.9576819999999997,1092.75,
R6,2023-04-27 13:54:44.690,2023-04-27 13:54:45.790,2023-04-27 13:54:45.240,67.23374,2.8971359999999997,1097.492,
R7,2023-04-27 13:54:49.630,2023-04-27 13:54:51.080,2023-04-27 13:54:50.355,180.90466,3.5930985,1066.976,
R8,2023-04-27 13:54:55.390,2023-04-27 13:54:57.390,2023-04-27 13:54:56.390,56.05055600000001,2.484376,1050.9180000000001,
R9,2023-04-27 13:55:01.360,2023-04-27 13:55:03.780,2023-04-27 13:55:02.570,89.35326,1.427734,913.9062,
R10,2023-04-27 13:55:08.120,2023-04-27 13:55:11.050,2023-04-27 13:55:09.585,46.15771,1.671224,974.2995999999999,
F1,2023-04-27 13:55:18.830,2023-04-27 13:55:19.680,2023-04-27 13:55:19.255,83.09168,0.5999944500000001,,875.9721999999999
F2,2023-04-27 13:55:19.020,2023-04-27 13:55:19.860,2023-04-27 13:55:19.440,76.66112000000001,0.4309158,911.0808999999999,
F3,2023-04-27 13:55:19.180,2023-04-27 13:55:19.990,2023-04-27 13:55:19.585,96.51944,0.7370285,944.0026,910.9987000000001
F4,2023-04-27 13:55:19.300,2023-04-27 13:55:20.110,2023-04-27 13:55:19.705,58.45231,0.4156738,967.0224000000001,944.4765
