,,0
draw,diameter,0.05
draw,temperature,1423.15
roll_force,R1,301382.57236425113
roll_force,R2,175904.0377204893
roll_force,R3,318726.0812485677
roll_force,R4,148126.41449711457
roll_force,R5,200424.04527690497
roll_force,R6,101283.88243311856
roll_force,R7,190482.57552470855
roll_force,R8,82375.83921189261
roll_force,R9,104385.5615660131
roll_force,R10,66044.38804817063
roll_force,F1,69158.83278395262
roll_force,F2,43770.131578207336
roll_force,F3,68231.23443290172
roll_force,F4,32300.184026798594
roll_torque,R1,7638.369422416337
roll_torque,R2,6195.325203302192
roll_torque,R3,7701.344041299233
roll_torque,R4,4971.03346028281
roll_torque,R5,4241.070436228366
roll_torque,R6,2575.4813487690158
roll_torque,R7,3596.2311206154254
roll_torque,R8,2012.604399581868
roll_torque,R9,1532.0528425204134
roll_torque,R10,1212.1130642130872
roll_torque,F1,668.3228519489644
roll_torque,F2,531.2445837288057
roll_torque,F3,643.4352809581549
roll_torque,F4,341.71775796295475
in_temperature,R1,1423.15
in_temperature,R2,1406.524541589938
in_temperature,R3,1392.2413810305304
in_temperature,R4,1374.963020003708
in_temperature,R5,1360.6886944627242
in_temperature,R6,1336.889634232728
in_temperature,R7,1315.3154283576043
in_temperature,R8,1288.3220138622696
in_temperature,R9,1266.576777712555
in_temperature,R10,1234.93923632453
in_temperature,F1,1189.5840565944345
in_temperature,F2,1208.6564159789025
in_temperature,F3,1226.891141948177
in_temperature,F4,1255.140478664654
out_temperature,R1,1429.835588194843
out_temperature,R2,1416.1822665581606
out_temperature,R3,1409.49678801482
out_temperature,R4,1391.8464121688007
out_temperature,R5,1379.391060432169
out_temperature,R6,1351.6361989929235
out_temperature,R7,1343.5832132082928
out_temperature,R8,1309.5011639525271
out_temperature,R9,1286.0028034423349
out_temperature,R10,1254.1402968867499
out_temperature,F1,1210.2005647029684
out_temperature,F2,1228.2821988829476
out_temperature,F3,1256.6346687952246
out_temperature,F4,1279.5286276154063
heat_turnover,R1,6409.863037896587
heat_turnover,R2,4898.562635484513
heat_turnover,R3,5231.994491686941
heat_turnover,R4,3410.215310132405
heat_turnover,R5,2147.9444448293902
heat_turnover,R6,1406.5341284991018
heat_turnover,R7,1664.846980211637
heat_turnover,R8,1068.29819319667
heat_turnover,R9,526.3096328898941
heat_turnover,R10,474.57823273164166
heat_turnover,F1,215.61892393779084
heat_turnover,F2,182.60741013034485
heat_turnover,F3,212.83754462377752
heat_turnover,F4,135.2078035419838
filling_ratio,R1,0.963613411293555
filling_ratio,R2,1.0058420755729924
filling_ratio,R3,0.7902847125293886
filling_ratio,R4,0.8910356574328461
filling_ratio,R5,0.998421380071212
filling_ratio,R6,0.9201911122164915
filling_ratio,R7,0.837362640027412
filling_ratio,R8,0.9304630033907872
filling_ratio,R9,0.9444450922176589
filling_ratio,R10,1.033643999332735
filling_ratio,F1,0.9100942837793911
filling_ratio,F2,0.9918207004777999
filling_ratio,F3,0.9860045226662503
filling_ratio,F4,0.9995681691153898
contact_area,R1,0.004941548596141582
contact_area,R2,0.002804466491700649
contact_area,R3,0.0038507543311076574
contact_area,R4,0.001887846582006392
contact_area,R5,0.0020596409472343896
contact_area,R6,0.001120178328334851
contact_area,R7,0.0016025159769749717
contact_area,R8,0.0007707872593347548
contact_area,R9,0.0007937741135315778
contact_area,R10,0.0005216229548239023
contact_area,F1,0.00041007240177996367
contact_area,F2,0.0002768046456979998
contact_area,F3,0.00037042847256943704
contact_area,F4,0.00019872145744783857
in_grain_size,R1,0.0002
in_grain_size,R2,0.0002
in_grain_size,R3,0.0002
in_grain_size,R4,0.0002
in_grain_size,R5,0.0002
in_grain_size,R6,0.0002
in_grain_size,R7,0.0002
in_grain_size,R8,0.0002
in_grain_size,R9,0.0002
in_grain_size,R10,0.0002
